,cursor,nameWithOwner,url,stargazerCount,age,releases,cbo,dit,wmc,loc
0,Y3Vyc29yOjM5Ng==,thinkaurelius/titan,https://github.com/thinkaurelius/titan,5129,3312,0,4.0,1.0,4.0,71163
0,Y3Vyc29yOjM5Nw==,Yalantis/Side-Menu.Android,https://github.com/Yalantis/Side-Menu.Android,5116,2259,2,2.0,1.0,3.0,449
0,Y3Vyc29yOjM5OA==,google/grafika,https://github.com/google/grafika,5101,2649,1,5,2,9,10035
0,Y3Vyc29yOjM5OQ==,motianhuo/wechat,https://github.com/motianhuo/wechat,5095,2128,0,3.0,1.0,3.0,34593
0,Y3Vyc29yOjQwMA==,MindorksOpenSource/from-java-to-kotlin,https://github.com/MindorksOpenSource/from-java-to-kotlin,5069,1400,0,0.5,1.0,7.0,37
0,Y3Vyc29yOjQwMQ==,h6ah4i/android-advancedrecyclerview,https://github.com/h6ah4i/android-advancedrecyclerview,5066,2248,1,4,2,4,20692
0,Y3Vyc29yOjQwMg==,apache/jmeter,https://github.com/apache/jmeter,5058,3952,0,4,2,7,126139
0,Y3Vyc29yOjQwMw==,springfox/springfox,https://github.com/springfox/springfox,5054,3241,12,3.0,1.0,4.0,32115
0,Y3Vyc29yOjQwNA==,frogermcs/InstaMaterial,https://github.com/frogermcs/InstaMaterial,5036,2323,1,2.0,1.0,1.0,2223
0,Y3Vyc29yOjQwNQ==,xxv/android-lifecycle,https://github.com/xxv/android-lifecycle,5035,2529,0,7.5,2.0,20.0,481
0,Y3Vyc29yOjQwNg==,wuhaoyu1990/MagicCamera,https://github.com/wuhaoyu1990/MagicCamera,5011,1899,0,3.0,1.0,4.0,14543
0,Y3Vyc29yOjQwNw==,Alluxio/alluxio,https://github.com/Alluxio/alluxio,5000,3012,42,5,1,6,177762
0,Y3Vyc29yOjQwOA==,CameraKit/camerakit-android,https://github.com/CameraKit/camerakit-android,4998,1575,17,2.0,1.0,2.0,4487
0,Y3Vyc29yOjQwOQ==,apache/dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project,4992,1158,13,6.0,1.0,2.0,1938
0,Y3Vyc29yOjQxMA==,KeepSafe/TapTargetView,https://github.com/KeepSafe/TapTargetView,4992,1652,22,2,1,3,1948
0,Y3Vyc29yOjQxMQ==,gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,4991,1978,28,2,1,2,9771
0,Y3Vyc29yOjQxMg==,yanzhenjie/SwipeRecyclerView,https://github.com/yanzhenjie/SwipeRecyclerView,4989,1691,0,3.0,1.0,3.0,11714
0,Y3Vyc29yOjQxMw==,alibaba/UltraViewPager,https://github.com/alibaba/UltraViewPager,4988,1453,10,2.0,1.0,3.5,1518
0,Y3Vyc29yOjQxNA==,Trinea/android-common,https://github.com/Trinea/android-common,4982,3197,1,3.0,1.0,7.0,6671
0,Y3Vyc29yOjQxNQ==,changmingxie/tcc-transaction,https://github.com/changmingxie/tcc-transaction,4972,1934,0,3,1,4,5898
0,Y3Vyc29yOjQxNg==,wequick/Small,https://github.com/wequick/Small,4961,1941,25,2,1,1,7726
0,Y3Vyc29yOjQxNw==,bytedeco/javacv,https://github.com/bytedeco/javacv,4949,2526,6,4,1,9,26129
0,Y3Vyc29yOjQxOA==,traex/RippleEffect,https://github.com/traex/RippleEffect,4942,2350,0,2,1,1,504
0,Y3Vyc29yOjQxOQ==,Vedenin/useful-java-links,https://github.com/Vedenin/useful-java-links,4927,1863,0,2,1,2,6861
0,Y3Vyc29yOjQyMA==,wxiaoqi/Spring-Cloud-Platform,https://github.com/wxiaoqi/Spring-Cloud-Platform,4918,1396,3,3,1,4,6014
0,Y3Vyc29yOjQyMQ==,careercup/ctci,https://github.com/careercup/ctci,4913,2922,0,2,1,7,11244
0,Y3Vyc29yOjQyMg==,Karumi/Dexter,https://github.com/Karumi/Dexter,4905,1951,32,3.0,1.0,3.0,2197
0,Y3Vyc29yOjQyMw==,spring-projects/spring-mvc-showcase,https://github.com/spring-projects/spring-mvc-showcase,4902,3579,0,5.0,1.0,4.0,1281
0,Y3Vyc29yOjQyNA==,amitshekhariitbhu/RxJava2-Android-Samples,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,4898,1667,0,2,1,3,3992
0,Y3Vyc29yOjQyNQ==,orhanobut/dialogplus,https://github.com/orhanobut/dialogplus,4878,2291,9,3,1,2,1047
0,Y3Vyc29yOjQyNg==,Devlight/NavigationTabBar,https://github.com/Devlight/NavigationTabBar,4848,1818,13,2.0,1.0,2.0,2538
0,Y3Vyc29yOjQyNw==,TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,4846,2040,25,3,1,3,14602
0,Y3Vyc29yOjQyOA==,JesusFreke/smali,https://github.com/JesusFreke/smali,4844,3101,1,4,1,4,46601
0,Y3Vyc29yOjQyOQ==,claritylab/lucida,https://github.com/claritylab/lucida,4843,2504,0,5.0,1.0,9.0,23221
0,Y3Vyc29yOjQzMA==,yipianfengye/android-zxingLibrary,https://github.com/yipianfengye/android-zxingLibrary,4818,1699,0,3.0,1.0,2.0,2018
0,Y3Vyc29yOjQzMQ==,graphql-java/graphql-java,https://github.com/graphql-java/graphql-java,4812,2085,34,6,1,5,45374
0,Y3Vyc29yOjQzMg==,wasabeef/Blurry,https://github.com/wasabeef/Blurry,4809,2068,0,3.5,1.0,2.5,641
0,Y3Vyc29yOjQzMw==,andkulikov/Transitions-Everywhere,https://github.com/andkulikov/Transitions-Everywhere,4804,2350,23,5,1,3,9505
